Id.,Category,Definition,Author(s),Source,Year
AGISI0001,MI definition,"“Artificial Intelligence is […] the study of the computations that make it possible to perceive, reason, and act.”","Winston, P. H.","Artificial Intelligence. Third Edition, Addison-Wesley Publishing Company, 1992.",1992
AGISI0002,MI definition,“[Intelligence is] the capability of a system to adapt its behavior to meet its goals in a range of environments.”,"Fogel, D. B.","Defining Artificial Intelligence. In Evolutionary Computation: Toward a New Philosophy of Machine Intelligence. Third Edition. The Institute of Electrical and Electronics Engineers, Inc., IEEE Press, 2006.",2006
AGISI0003,MI definition,“Intelligence measures an agent's ability to achieve goals in a wide range of environments.”,"Legg, S. and Hutter, M.","Universal Intelligence: A Definition of Machine Intelligence. Minds and Machines, 17(4):391-444, Springer, 2007.",2007
AGISI0004,MI definition,“Intelligence is the computational part of the ability to achieve goals in the world.”,"McCarthy, J.","What Is Artificial Intelligence | Basic Questions, Formal Reasoning Group, 2007. Available at https://goo.gl/GM5wwX (Last accessed: October 8, 2018).",2007
AGISI0005,MI definition,"“The essence of intelligence is the principle of adapting to the environment while working with insufficient knowledge and resources. Accordingly, an intelligent system should rely on finite processing capacity, work in real time, open to unexpected tasks, and learn from experience. This working definition interprets 'intelligence' as a form of 'relative rationality.'”","Wang, P.","What Do You Mean by ""AI""? In P. Wang, B. Goertzel, and S. Franklin (eds.), Artificial General Intelligence 2008, Proceedings of the First AGI Conference, Frontiers in Artificial Intelligence and Applications, 171:362-373. IOS Press Amsterdam, The Netherlands, 2008.",2008
AGISI0006,MI definition,"“The goal is to build computer systems that exhibit the full range of the cognitive capabilities we find in humans. […] The ability to pursue tasks across a broad range of domains, in complex physical and social environments. [A human-level intelligence] system needs broad competence. It needs to successfully work on a wide variety of problems, using different types of knowledge and learning in different situations, but it does not need to generate optimal behavior.”","Laird, J. E., Wray, R. E., Marinier, R. P., and Langley, P.","Claims and Challenges in Evaluating Human-Level Intelligent Systems. In B. Goertzel, P. Hitzler, & M. Hutter (eds.), Proceedings of the Second Conference on Artificial General Intelligence. Atlantis Press, 2009.",2009
AGISI0007,MI definition,"“Pragmatic general intelligence measures the capability of an agent to achieve goals in environments, relative to prior distributions over goal and environment space. Efficient pragmatic general intelligences measures this same capability, but normalized by the amount of computational resources utilized in the course of the goal-achievement.”","Goertzel, B.","Toward a Formal Characterization of Real-World General Intelligence. In E. B. Baum, M. Hutter, and E. Kitzelmann (eds.), Artificial General Intelligence, Proceedings of the Third Conference on Artificial General Intelligence, AGI 2010, Lugano, Switzerland, March 5-8, 2010, pp. 19-24. Advances in Intelligent Systems Research 10. Amsterdam: Atlantis, 2010.",2010
AGISI0008,MI definition,"“Artificial intelligence is that activity devoted to making machines intelligent, and intelligence is that quality that enables an entity to function appropriately and with foresight in its environment.”","Nilsson, N. J.","The Quest for Artificial Intelligence. A History of Ideas and Achievements. Cambridge University Press, 2010.",2010
AGISI0009,MI definition,"“Intelligence is concerned mainly with rational action. Ideally, an intelligent agent takes the best possible action in a situation.”","Russell, S. J. and Norvig, P.","Artificial Intelligence: A Modern Approach, Third Edition. Prentice Hall, 2010.",2010
AGISI0010,MI definition,“Intelligence measures an agent's capacity for efficient cross-domain optimization of the world according to the agent's preferences.”,"Muehlhauser, L. and Salamon, A.","Intelligence Explosion: Evidence and Import. In A. H. Eden, J. H. Moor, J. H. Soraker, and E. Steinhart (eds.), A Scientific and Philosophical Assessment (pp. 15-42), Springer, 2012.",2012
AGISI0011,MI definition,"“Machines matching humans in general intelligence — that is, possessing common sense and an effective ability to learn, reason, and plan to meet complex information-processing challenges across a wide range of natural and abstract domains.”","Bostrom, N.","Superintelligence. Paths, Dangers, Strategy. Oxford University Press, 2014.",2014
AGISI0012,MI definition,"“We chart the view of intelligence as computational rationality: computing with representations, algorithms, and architectures designed to approximate decisions with the highest expected utility, while taking into account the costs of computation.”","Gershman, S. J., Horvitz, E. J., and Tenenbaum, J. B.","Computational rationality: A converging paradigm for intelligence in brains, minds, and machines. Science 349(6245):273-278, 2015.",2015
AGISI0013,MI definition,“A central goal of general artificial intelligence [is to] create a single algorithm that would be able to develop a wide range of competencies on a varied range of challenging tasks.”,"Mnih, V. and other 18 authors","Human-level control through deep reinforcement learning. Nature, 518:529-541, Macmillan Publishers Limited, 2015.",2015
AGISI0014,MI definition,"[Artificial Intelligence] is defined as “intellectual machines and systems [...] that could automatically sense people’s situations or expectations, and offer necessary information before it is required.”","Ema, A. and other 11 authors","Future Relations between Humans and Artificial Intelligence: A Stakeholder Opinion Survey in Japan. IEEE Technology and Society Magazine, 35(4):68-75, December 2016.",2016
AGISI0015,MI definition,"“Artificial intelligence, the capability of computer systems to perform tasks that normally require human intelligence (e.g., perception, conversation, decision-making).”",United States Defense Science Board (DSB),"Defense Science Board Summer Study on Autonomy. Publisher: United States. Defense Science Board, 2016. Available at https://goo.gl/mm6N6y (Last accessed: October 8, 2018.",2017
AGISI0016,MI definition,"“One strategically (and therefore analytically) relevant definition for our purposes is that of [Artificial Intelligence] as a rational optimization agent that can (enable humans to) act competently in the world (that is, subtype Behavior and Rational).”","De Spiegeleire, S., Maas, M., and Sweijs, T.","Artificial Intelligence and the Future of Defense: Strategic Implications for Small and Medium Sized Force Providers.The Hague Centre for Strategic Studies, 2017.",2017
AGISI0017,MI definition,"“Machine Intelligence is the ability of an agent to provide rational, unbiased guidance and service to humans so as to help them achieve optimal outcomes in a range of circumstances.”","Lewis, C. W. P. and Monett, D.","A Theory on Understanding Human Intelligence and a Persuasive Definition of Machine Intelligence for the Benefits of Humanity. (Working paper, unpublished)",2017
AGISI0018,HI definition,"“Intelligence means organization of ideas, manifold interconnection of all those ideas which ought to enter into a unitary group because of the natural relations of the objective facts represented by them. The discovery of a physical law in a multitude of phenomena apparently unrelated, the interpretation of an historical event of which only a few details are directly known, are examples of intelligence thought which takes into consideration innumerable experiences neglected by the less intelligent mind. Neither memory alone nor attention alone is the foundation of intelligence, but a union of memory and attention.”","Ebbinghaus, H.","Psychology: An Elementary Text-book. M. F. Meyer (Ed.). Boston: Heath, 1908.",1908
AGISI0019,HI definition,“Intelligence serves in the discovery of truth. But the conception is still too narrow; and we return to our favorite theory; the intelligence marks itself by the best possible adaptation of the individual to his environment.”,"Binet, A. and Simon, T.","The development of intelligence in children (the Binet-Simon scale). In H. H. Goodard (Ed.), The development of intelligence in children. Baltimore: Williams & Wilkins (original work published 1909, republished 1916).",1909
